Country_Name,Deaths,Confirmed
US,259,12574
US,284,15086
US,127,6743
US,496,19764
US,79,2909
US,105,5935
US,126,4564
US,44,1258
US,87,3094
US,65,3112
US,405,17310
US,180,9793
US,1910,114056
US,46,2178
US,294,14157
US,117,4266
US,240,23149
US,198,15222
US,61,1741
US,62,2307
US,686,52017
US,89,3340
US,126,4958
US,300,18254
US,1323,72269
US,62,3304
US,725,33971
US,372,20659
US,0,0
US,40,1380
US,82,3139
US,105,4720
US,63,3276
US,58,6261
US,341,37304
US,337,15921
US,38,1311
US,272,13723
US,195,7044
US,599,34966
US,0,0
US,366,11089
US,51,2511
US,38,1677
US,101,4476
US,3,435
US,1,922
US,299,53032
US,25,5630
US,0,0
US,0,432
US,5,1051
US,1,518
US,1,258
US,5,735
US,72,14633
US,0,228
US,9,3615
US,48,10068
US,8,1604
US,7,2375
US,6,1961
US,84,20240
US,1,1251
US,6,2510
US,6,1578
US,3,293
US,5,486
US,5,1154
US,0,73
US,9,1136
US,1,510
US,0,0
US,0,144
US,2,232
US,5,663
US,0,3
US,481,13501
US,331,15197
US,353,22268
US,248,9332
US,113,7278
US,16,1037
US,97,3103
US,11827,718831
US,958,32482
US,609,20520
US,0,0
US,2664,139636
US,1051,71384
US,188,8916
US,0,0
US,667,27304
US,897,41187
US,59,3447
US,48,3150
US,175,5765
US,592,41620
US,126,6164
US,41,1946
US,7,590
US,73,4257
US,44,2008
US,54,3191
US,66,2689
US,89,3664
US,32,1398
US,72,3360
US,43,3124
US,241,21336
US,172,10602
US,166,8724
US,64,2929
US,19,1131
US,32,1888
US,54,2860
US,220,19371
US,51,2705
US,62,1680
US,382,15875
US,47,2863
US,122,9971
US,38,2905
US,105,7554
US,35,2396
US,156,6251
US,55,2499
US,42,4185
US,227,12283
US,56,4562
US,26,841
US,56,3238
US,48,2084
US,57,3638
US,71,1999
US,42,3591
US,174,11830
US,37,2458
US,57,2115
US,116,6387
US,137,8240
US,24,1186
US,44,1123
US,38,1354
US,36,1166
US,83,3388
US,21,1501
US,76,3177
US,35,1688
US,98,4871
US,109,2969
US,153,11859
US,29,1274
US,896,58289
US,55,3276
US,241,18381
US,29,1709
US,24,1240
US,365,22124
US,50,3812
US,66,2814
US,66,4774
US,41,1693
US,0,5105
US,135,5709
US,39,2169
US,469,44195
US,189,13056
US,24,1081
US,77,4609
US,1374,119887
US,0,102
US,64,5372
US,260,23364
US,80,3817
US,18,3017
